Site,Subsample number,Height,Hits
Wildflower_Control,2,290,0
Wildflower_Control,2,310,0
Wildflower_Control,3,10,8
Wildflower_Control,3,30,2
Wildflower_Control,3,50,0
Wildflower_Control,3,70,0
Wildflower_Control,3,90,1
Wildflower_Control,3,110,5
Wildflower_Control,3,130,1
Wildflower_Control,3,150,2
Wildflower_Control,3,170,1
Wildflower_Control,3,190,0
Wildflower_Control,3,210,0
Wildflower_Control,3,230,0
Wildflower_Control,3,250,0
Wildflower_Control,3,270,0
Wildflower_Control,3,290,0
Wildflower_Control,3,310,0
Wildflower_Control,4,10,5
Wildflower_Control,4,30,0
Wildflower_Control,4,50,0
Wildflower_Control,4,70,0
Wildflower_Control,4,90,0
Wildflower_Control,4,110,0
Wildflower_Control,4,130,0
Wildflower_Control,4,150,0
Wildflower_Control,4,170,0
Wildflower_Control,4,190,0
Wildflower_Control,4,210,0
Wildflower_Control,4,230,0
Wildflower_Control,4,250,0
Wildflower_Control,4,270,0
Wildflower_Control,4,290,0
Wildflower_Control,4,310,0
Wildflower_Control,5,10,7
Wildflower_Control,5,30,2
Wildflower_Control,5,50,1
Wildflower_Control,5,70,0
Wildflower_Control,5,90,0
Wildflower_Control,5,110,0
Wildflower_Control,5,130,0
Wildflower_Control,5,150,0
Wildflower_Control,5,170,0
Wildflower_Control,5,190,0
Wildflower_Control,5,210,0
Wildflower_Control,5,230,0
Wildflower_Control,5,250,0
Wildflower_Control,5,270,0
Wildflower_Control,5,290,0
Wildflower_Control,5,310,0
Wildflower_Exclosure,1,10,0
Wildflower_Exclosure,1,30,5
Wildflower_Exclosure,1,50,4
Wildflower_Exclosure,1,70,4
Wildflower_Exclosure,1,90,1
Wildflower_Exclosure,1,110,1
Wildflower_Exclosure,1,130,1
Wildflower_Exclosure,1,150,3
Wildflower_Exclosure,1,170,3
Wildflower_Exclosure,1,190,3
Wildflower_Exclosure,1,210,2
Wildflower_Exclosure,1,230,0
Wildflower_Exclosure,1,250,0
Wildflower_Exclosure,1,270,0
Wildflower_Exclosure,1,290,0
Wildflower_Exclosure,1,310,0
Wildflower_Exclosure,2,10,3
Wildflower_Exclosure,2,30,2
Wildflower_Exclosure,2,50,0
Wildflower_Exclosure,2,70,0
Wildflower_Exclosure,2,90,0
Wildflower_Exclosure,2,110,0
Wildflower_Exclosure,2,130,0
Wildflower_Exclosure,2,150,1
Wildflower_Exclosure,2,170,1
Wildflower_Exclosure,2,190,0
Wildflower_Exclosure,2,210,0
Wildflower_Exclosure,2,230,0
Wildflower_Exclosure,2,250,0
Wildflower_Exclosure,2,270,0
Wildflower_Exclosure,2,290,0
Wildflower_Exclosure,2,310,0
Wildflower_Exclosure,3,10,5
Wildflower_Exclosure,3,30,4
Wildflower_Exclosure,3,50,5
Wildflower_Exclosure,3,70,3
Wildflower_Exclosure,3,90,6
Wildflower_Exclosure,3,110,1
Wildflower_Exclosure,3,130,2
Wildflower_Exclosure,3,150,1
Wildflower_Exclosure,3,170,2
Wildflower_Exclosure,3,190,1
Wildflower_Exclosure,3,210,0
Wildflower_Exclosure,3,230,0
Wildflower_Exclosure,3,250,0
Wildflower_Exclosure,3,270,0
Wildflower_Exclosure,3,290,0
Wildflower_Exclosure,3,310,0
Wildflower_Exclosure,4,10,1
Wildflower_Exclosure,4,30,8
Wildflower_Exclosure,4,50,11
Wildflower_Exclosure,4,70,0
Wildflower_Exclosure,4,90,0
Wildflower_Exclosure,4,110,0
Wildflower_Exclosure,4,130,0
Wildflower_Exclosure,4,150,0
Wildflower_Exclosure,4,170,3
Wildflower_Exclosure,4,190,5
Wildflower_Exclosure,4,210,0
Wildflower_Exclosure,4,230,1
Wildflower_Exclosure,4,250,0
Wildflower_Exclosure,4,270,0
Wildflower_Exclosure,4,290,0
Wildflower_Exclosure,4,310,0
Wildflower_Exclosure,5,10,5
Wildflower_Exclosure,5,30,6
Wildflower_Exclosure,5,50,1
Wildflower_Exclosure,5,70,0
Wildflower_Exclosure,5,90,0
Wildflower_Exclosure,5,110,2
Wildflower_Exclosure,5,130,3
Wildflower_Exclosure,5,150,2
Wildflower_Exclosure,5,170,1
Wildflower_Exclosure,5,190,0
Wildflower_Exclosure,5,210,0
Wildflower_Exclosure,5,230,0
Wildflower_Exclosure,5,250,0
Wildflower_Exclosure,5,270,0
Wildflower_Exclosure,5,290,0
Wildflower_Exclosure,5,310,0
Rainbow_Exclosure,1,10,4
Rainbow_Exclosure,1,30,3
Rainbow_Exclosure,1,50,1
Rainbow_Exclosure,1,70,0
Rainbow_Exclosure,1,90,0
Rainbow_Exclosure,1,110,3
Rainbow_Exclosure,1,130,2
Rainbow_Exclosure,1,150,0
Rainbow_Exclosure,1,170,1
Rainbow_Exclosure,1,190,0
Rainbow_Exclosure,1,210,0
Rainbow_Exclosure,1,230,0
Rainbow_Exclosure,1,250,0
Rainbow_Exclosure,1,270,0
Rainbow_Exclosure,1,290,0
Rainbow_Exclosure,1,310,0
Rainbow_Exclosure,2,10,1
Rainbow_Exclosure,2,30,1
Rainbow_Exclosure,2,50,0
Rainbow_Exclosure,2,70,2
Rainbow_Exclosure,2,90,0
Rainbow_Exclosure,2,110,0
Rainbow_Exclosure,2,130,0
Rainbow_Exclosure,2,150,0
Rainbow_Exclosure,2,170,0
Rainbow_Exclosure,2,190,0
Rainbow_Exclosure,2,210,0
Rainbow_Exclosure,2,230,0
Rainbow_Exclosure,2,250,5
Rainbow_Exclosure,2,270,1
Rainbow_Exclosure,2,290,0
Rainbow_Exclosure,2,310,0
Rainbow_Exclosure,3,10,2
Rainbow_Exclosure,3,30,0
Rainbow_Exclosure,3,50,0
Rainbow_Exclosure,3,70,1
Rainbow_Exclosure,3,90,0
Rainbow_Exclosure,3,110,0
Rainbow_Exclosure,3,130,0
Rainbow_Exclosure,3,150,0
Rainbow_Exclosure,3,170,0
Rainbow_Exclosure,3,190,0
Rainbow_Exclosure,3,210,0
Rainbow_Exclosure,3,230,0
Rainbow_Exclosure,3,250,0
Rainbow_Exclosure,3,270,3
Rainbow_Exclosure,3,290,3
Rainbow_Exclosure,3,310,0
Rainbow_Exclosure,4,10,1
Rainbow_Exclosure,4,30,1
Rainbow_Exclosure,4,50,0
Rainbow_Exclosure,4,70,0
Rainbow_Exclosure,4,90,0
Rainbow_Exclosure,4,110,0
Rainbow_Exclosure,4,130,0
Rainbow_Exclosure,4,150,0
Rainbow_Exclosure,4,170,0
Rainbow_Exclosure,4,190,0
Rainbow_Exclosure,4,210,1
Rainbow_Exclosure,4,230,3
Rainbow_Exclosure,4,250,1
Rainbow_Exclosure,4,270,2
Rainbow_Exclosure,4,290,1
Rainbow_Exclosure,4,310,1
Rainbow_Exclosure,5,10,3
Rainbow_Exclosure,5,30,3
Rainbow_Exclosure,5,50,0
Rainbow_Exclosure,5,70,0
Rainbow_Exclosure,5,90,3
Rainbow_Exclosure,5,110,0
Rainbow_Exclosure,5,130,1
Rainbow_Exclosure,5,150,0
Rainbow_Exclosure,5,170,0
Rainbow_Exclosure,5,190,1
Rainbow_Exclosure,5,210,0
Rainbow_Exclosure,5,230,0
Rainbow_Exclosure,5,250,1
Rainbow_Exclosure,5,270,0
Rainbow_Exclosure,5,290,0
Rainbow_Exclosure,5,310,5
Rainbow_Control,1,10,5
Rainbow_Control,1,30,3
Rainbow_Control,1,50,0
Rainbow_Control,1,70,0
Rainbow_Control,1,90,0
Rainbow_Control,1,110,0
Rainbow_Control,1,130,0
Rainbow_Control,1,150,0
Rainbow_Control,1,170,0
Rainbow_Control,1,190,0
Rainbow_Control,1,210,0
Rainbow_Control,1,230,0
Rainbow_Control,1,250,0
Rainbow_Control,1,270,0
Rainbow_Control,1,290,0
Rainbow_Control,1,310,0
Rainbow_Control,2,10,5
Rainbow_Control,2,30,1
Rainbow_Control,2,50,0
Rainbow_Control,2,70,0
Rainbow_Control,2,90,0
Rainbow_Control,2,110,0
Rainbow_Control,2,130,0
Rainbow_Control,2,150,0
Rainbow_Control,2,170,0
Rainbow_Control,2,190,0
Rainbow_Control,2,210,0
Rainbow_Control,2,230,0
Rainbow_Control,2,250,0
Rainbow_Control,2,270,0
Rainbow_Control,2,290,0
Rainbow_Control,2,310,0
Rainbow_Control,3,10,7
Rainbow_Control,3,30,2
Rainbow_Control,3,50,2
Rainbow_Control,3,70,0
Rainbow_Control,3,90,0
Rainbow_Control,3,110,0
Rainbow_Control,3,130,0
Rainbow_Control,3,150,0
Rainbow_Control,3,170,0
Rainbow_Control,3,190,0
Rainbow_Control,3,210,0
Rainbow_Control,3,230,0
Rainbow_Control,3,250,0
Rainbow_Control,3,270,0
Rainbow_Control,3,290,0
Rainbow_Control,3,310,0
Rainbow_Control,4,10,5
Rainbow_Control,4,30,2
Rainbow_Control,4,50,0
Rainbow_Control,4,70,0
Rainbow_Control,4,90,0
Rainbow_Control,4,110,0
Rainbow_Control,4,130,0
Rainbow_Control,4,150,0
Rainbow_Control,4,170,0
Rainbow_Control,4,190,0
Rainbow_Control,4,210,0
Rainbow_Control,4,230,0
Rainbow_Control,4,250,0
Rainbow_Control,4,270,0
Rainbow_Control,4,290,0
Rainbow_Control,4,310,0
Rainbow_Control,5,10,6
Rainbow_Control,5,30,1
Rainbow_Control,5,50,0
Rainbow_Control,5,70,1
Rainbow_Control,5,90,0
Rainbow_Control,5,110,0
Rainbow_Control,5,130,0
Rainbow_Control,5,150,0
Rainbow_Control,5,170,0
Rainbow_Control,5,190,0
Rainbow_Control,5,210,0
Rainbow_Control,5,230,0
Rainbow_Control,5,250,0
Rainbow_Control,5,270,0
Rainbow_Control,5,290,0
Rainbow_Control,5,310,0
Broomer_Control,1,10,3
Broomer_Control,1,30,1
Broomer_Control,1,50,1
Broomer_Control,1,70,0
Broomer_Control,1,90,0
Broomer_Control,1,110,0
Broomer_Control,1,130,0
Broomer_Control,1,150,0
Broomer_Control,1,170,0
Broomer_Control,1,190,0
Broomer_Control,1,210,0
Broomer_Control,1,230,0
Broomer_Control,1,250,0
Broomer_Control,1,270,0
Broomer_Control,1,290,0
Broomer_Control,1,310,0
Broomer_Control,2,10,4
Broomer_Control,2,30,3
Broomer_Control,2,50,2
Broomer_Control,2,70,0
Broomer_Control,2,90,0
Broomer_Control,2,110,0
Broomer_Control,2,130,0
Broomer_Control,2,150,0
Broomer_Control,2,170,0
Broomer_Control,2,190,0
Broomer_Control,2,210,0
Broomer_Control,2,230,0
Broomer_Control,2,250,0
Broomer_Control,2,270,0
Broomer_Control,2,290,0
Broomer_Control,2,310,0
Broomer_Control,3,10,6
Broomer_Control,3,30,1
Broomer_Control,3,50,0
Broomer_Control,3,70,0
Broomer_Control,3,90,0
Broomer_Control,3,110,0
Broomer_Control,3,130,0
Broomer_Control,3,150,0
Broomer_Control,3,170,0
Broomer_Control,3,190,0
Broomer_Control,3,210,0
Broomer_Control,3,230,0
Broomer_Control,3,250,0
Broomer_Control,3,270,0
Broomer_Control,3,290,0
Broomer_Control,3,310,0
Broomer_Control,4,10,7
Broomer_Control,4,30,1
Broomer_Control,4,50,0
Broomer_Control,4,70,0
Broomer_Control,4,90,0
Broomer_Control,4,110,0
Broomer_Control,4,130,0
Broomer_Control,4,150,0
Broomer_Control,4,170,0
Broomer_Control,4,190,0
Broomer_Control,4,210,0
Broomer_Control,4,230,0
Broomer_Control,4,250,0
Broomer_Control,4,270,0
Broomer_Control,4,290,0
Broomer_Control,4,310,0
Broomer_Control,5,10,10
Broomer_Control,5,30,2
Broomer_Control,5,50,0
Broomer_Control,5,70,0
Broomer_Control,5,90,0
Broomer_Control,5,110,0
Broomer_Control,5,130,0
Broomer_Control,5,150,0
Broomer_Control,5,170,0
Broomer_Control,5,190,0
Broomer_Control,5,210,0
Broomer_Control,5,230,0
Broomer_Control,5,250,0
Broomer_Control,5,270,0
Broomer_Control,5,290,0
Broomer_Control,5,310,0
Broomer_Exclosure,1,10,1
Broomer_Exclosure,1,30,1
Broomer_Exclosure,1,50,3
Broomer_Exclosure,1,70,1
Broomer_Exclosure,1,90,0
Broomer_Exclosure,1,110,0
Broomer_Exclosure,1,130,0
Broomer_Exclosure,1,150,0
Broomer_Exclosure,1,170,0
Broomer_Exclosure,1,190,0
Broomer_Exclosure,1,210,0
Broomer_Exclosure,1,230,0
Broomer_Exclosure,1,250,0
Broomer_Exclosure,1,270,0
Broomer_Exclosure,1,290,0
Broomer_Exclosure,1,310,0
Broomer_Exclosure,2,10,5
Broomer_Exclosure,2,30,3
Broomer_Exclosure,2,50,3
Broomer_Exclosure,2,70,2
Broomer_Exclosure,2,90,0
Broomer_Exclosure,2,110,0
