Site,Subsample number,Height,Hits
Brookbuild_Exclosure,4,310,0
Brookbuild_Exclosure,5,10,11
Brookbuild_Exclosure,5,30,4
Brookbuild_Exclosure,5,50,1
Brookbuild_Exclosure,5,70,0
Brookbuild_Exclosure,5,90,0
Brookbuild_Exclosure,5,110,0
Brookbuild_Exclosure,5,130,0
Brookbuild_Exclosure,5,150,0
Brookbuild_Exclosure,5,170,0
Brookbuild_Exclosure,5,190,0
Brookbuild_Exclosure,5,210,0
Brookbuild_Exclosure,5,230,0
Brookbuild_Exclosure,5,250,0
Brookbuild_Exclosure,5,270,0
Brookbuild_Exclosure,5,290,0
Brookbuild_Exclosure,5,310,0
Brookbuild_Control,1,10,8
Brookbuild_Control,1,30,0
Brookbuild_Control,1,50,0
Brookbuild_Control,1,70,0
Brookbuild_Control,1,90,0
Brookbuild_Control,1,110,0
Brookbuild_Control,1,130,0
Brookbuild_Control,1,150,0
Brookbuild_Control,1,170,0
Brookbuild_Control,1,190,0
Brookbuild_Control,1,210,0
Brookbuild_Control,1,230,0
Brookbuild_Control,1,250,0
Brookbuild_Control,1,270,0
Brookbuild_Control,1,290,0
Brookbuild_Control,1,310,0
Brookbuild_Control,2,10,7
Brookbuild_Control,2,30,0
Brookbuild_Control,2,50,0
Brookbuild_Control,2,70,0
Brookbuild_Control,2,90,0
Brookbuild_Control,2,110,0
Brookbuild_Control,2,130,0
Brookbuild_Control,2,150,0
Brookbuild_Control,2,170,0
Brookbuild_Control,2,190,0
Brookbuild_Control,2,210,0
Brookbuild_Control,2,230,0
Brookbuild_Control,2,250,0
Brookbuild_Control,2,270,0
Brookbuild_Control,2,290,0
Brookbuild_Control,2,310,0
Brookbuild_Control,3,10,5
Brookbuild_Control,3,30,0
Brookbuild_Control,3,50,0
Brookbuild_Control,3,70,0
Brookbuild_Control,3,90,0
Brookbuild_Control,3,110,0
Brookbuild_Control,3,130,0
Brookbuild_Control,3,150,0
Brookbuild_Control,3,170,0
Brookbuild_Control,3,190,0
Brookbuild_Control,3,210,0
Brookbuild_Control,3,230,0
Brookbuild_Control,3,250,0
Brookbuild_Control,3,270,0
Brookbuild_Control,3,290,0
Brookbuild_Control,3,310,0
Brookbuild_Control,4,10,7
Brookbuild_Control,4,30,0
Brookbuild_Control,4,50,0
Brookbuild_Control,4,70,0
Brookbuild_Control,4,90,0
Brookbuild_Control,4,110,0
Brookbuild_Control,4,130,0
Brookbuild_Control,4,150,0
Brookbuild_Control,4,170,0
Brookbuild_Control,4,190,0
Brookbuild_Control,4,210,0
Brookbuild_Control,4,230,0
Brookbuild_Control,4,250,0
Brookbuild_Control,4,270,0
Brookbuild_Control,4,290,0
Brookbuild_Control,4,310,0
Brookbuild_Control,5,10,0
Brookbuild_Control,5,30,0
Brookbuild_Control,5,50,0
Brookbuild_Control,5,70,0
Brookbuild_Control,5,90,0
Brookbuild_Control,5,110,0
Brookbuild_Control,5,130,0
Brookbuild_Control,5,150,0
Brookbuild_Control,5,170,0
Brookbuild_Control,5,190,0
Brookbuild_Control,5,210,0
Brookbuild_Control,5,230,0
Brookbuild_Control,5,250,0
Brookbuild_Control,5,270,0
Brookbuild_Control,5,290,0
Brookbuild_Control,5,310,0
B5_Exclosure,1,10,6
B5_Exclosure,1,30,2
B5_Exclosure,1,50,5
B5_Exclosure,1,70,4
B5_Exclosure,1,90,1
B5_Exclosure,1,110,0
B5_Exclosure,1,130,0
B5_Exclosure,1,150,0
B5_Exclosure,1,170,0
B5_Exclosure,1,190,0
B5_Exclosure,1,210,0
B5_Exclosure,1,230,0
B5_Exclosure,1,250,0
B5_Exclosure,1,270,0
B5_Exclosure,1,290,0
B5_Exclosure,1,310,0
B5_Exclosure,2,10,5
B5_Exclosure,2,30,1
B5_Exclosure,2,50,1
B5_Exclosure,2,70,3
B5_Exclosure,2,90,2
B5_Exclosure,2,110,3
B5_Exclosure,2,130,0
B5_Exclosure,2,150,0
B5_Exclosure,2,170,0
B5_Exclosure,2,190,0
B5_Exclosure,2,210,0
B5_Exclosure,2,230,0
B5_Exclosure,2,250,0
B5_Exclosure,2,270,0
B5_Exclosure,2,290,0
B5_Exclosure,2,310,0
B5_Exclosure,3,10,3
B5_Exclosure,3,30,2
B5_Exclosure,3,50,1
B5_Exclosure,3,70,0
B5_Exclosure,3,90,1
B5_Exclosure,3,110,1
B5_Exclosure,3,130,0
B5_Exclosure,3,150,0
B5_Exclosure,3,170,0
B5_Exclosure,3,190,0
B5_Exclosure,3,210,0
B5_Exclosure,3,230,0
B5_Exclosure,3,250,0
B5_Exclosure,3,270,0
B5_Exclosure,3,290,0
B5_Exclosure,3,310,0
B5_Exclosure,4,10,11
B5_Exclosure,4,30,9
B5_Exclosure,4,50,4
B5_Exclosure,4,70,2
B5_Exclosure,4,90,1
B5_Exclosure,4,110,1
B5_Exclosure,4,130,0
B5_Exclosure,4,150,0
B5_Exclosure,4,170,0
B5_Exclosure,4,190,0
B5_Exclosure,4,210,0
B5_Exclosure,4,230,0
B5_Exclosure,4,250,0
B5_Exclosure,4,270,0
B5_Exclosure,4,290,0
B5_Exclosure,4,310,0
B5_Exclosure,5,10,15
B5_Exclosure,5,30,6
B5_Exclosure,5,50,3
B5_Exclosure,5,70,1
B5_Exclosure,5,90,1
B5_Exclosure,5,110,2
B5_Exclosure,5,130,0
B5_Exclosure,5,150,0
B5_Exclosure,5,170,0
B5_Exclosure,5,190,0
B5_Exclosure,5,210,0
B5_Exclosure,5,230,0
B5_Exclosure,5,250,0
B5_Exclosure,5,270,0
B5_Exclosure,5,290,0
B5_Exclosure,5,310,0
B5_Control,1,10,6
B5_Control,1,30,0
B5_Control,1,50,0
B5_Control,1,70,0
B5_Control,1,90,0
B5_Control,1,110,0
B5_Control,1,130,0
B5_Control,1,150,0
B5_Control,1,170,0
B5_Control,1,190,0
B5_Control,1,210,0
B5_Control,1,230,0
B5_Control,1,250,0
B5_Control,1,270,0
B5_Control,1,290,0
B5_Control,1,310,0
B5_Control,2,10,7
B5_Control,2,30,0
B5_Control,2,50,0
B5_Control,2,70,0
B5_Control,2,90,0
B5_Control,2,110,0
B5_Control,2,130,0
B5_Control,2,150,0
B5_Control,2,170,0
B5_Control,2,190,0
B5_Control,2,210,0
B5_Control,2,230,0
B5_Control,2,250,0
B5_Control,2,270,0
B5_Control,2,290,0
B5_Control,2,310,0
B5_Control,3,10,12
B5_Control,3,30,0
B5_Control,3,50,0
B5_Control,3,70,0
B5_Control,3,90,0
B5_Control,3,110,0
B5_Control,3,130,0
B5_Control,3,150,0
B5_Control,3,170,0
B5_Control,3,190,0
B5_Control,3,210,0
B5_Control,3,230,0
B5_Control,3,250,0
B5_Control,3,270,0
B5_Control,3,290,0
B5_Control,3,310,0
B5_Control,4,10,13
B5_Control,4,30,0
B5_Control,4,50,0
B5_Control,4,70,0
B5_Control,4,90,0
B5_Control,4,110,0
B5_Control,4,130,0
B5_Control,4,150,0
B5_Control,4,170,0
B5_Control,4,190,0
B5_Control,4,210,0
B5_Control,4,230,0
B5_Control,4,250,0
B5_Control,4,270,0
B5_Control,4,290,0
B5_Control,4,310,0
B5_Control,5,10,9
B5_Control,5,30,0
B5_Control,5,50,0
B5_Control,5,70,0
B5_Control,5,90,0
B5_Control,5,110,0
B5_Control,5,130,0
B5_Control,5,150,0
B5_Control,5,170,0
B5_Control,5,190,0
B5_Control,5,210,0
B5_Control,5,230,0
B5_Control,5,250,0
B5_Control,5,270,0
B5_Control,5,290,0
B5_Control,5,310,0
B6_Exclosure,1,10,10
B6_Exclosure,1,30,3
B6_Exclosure,1,50,2
B6_Exclosure,1,70,0
B6_Exclosure,1,90,0
B6_Exclosure,1,110,0
B6_Exclosure,1,130,0
B6_Exclosure,1,150,0
B6_Exclosure,1,170,0
B6_Exclosure,1,190,0
B6_Exclosure,1,210,0
B6_Exclosure,1,230,0
B6_Exclosure,1,250,0
B6_Exclosure,1,270,0
B6_Exclosure,1,290,0
B6_Exclosure,1,310,0
B6_Exclosure,2,10,8
B6_Exclosure,2,30,2
B6_Exclosure,2,50,5
B6_Exclosure,2,70,1
B6_Exclosure,2,90,0
B6_Exclosure,2,110,0
B6_Exclosure,2,130,0
B6_Exclosure,2,150,0
B6_Exclosure,2,170,0
B6_Exclosure,2,190,0
B6_Exclosure,2,210,0
B6_Exclosure,2,230,0
B6_Exclosure,2,250,0
B6_Exclosure,2,270,0
B6_Exclosure,2,290,0
B6_Exclosure,2,310,0
B6_Exclosure,3,10,8
B6_Exclosure,3,30,6
B6_Exclosure,3,50,4
B6_Exclosure,3,70,3
B6_Exclosure,3,90,1
B6_Exclosure,3,110,0
B6_Exclosure,3,130,0
B6_Exclosure,3,150,0
B6_Exclosure,3,170,0
B6_Exclosure,3,190,0
B6_Exclosure,3,210,0
B6_Exclosure,3,230,0
B6_Exclosure,3,250,0
B6_Exclosure,3,270,0
B6_Exclosure,3,290,0
B6_Exclosure,3,310,0
B6_Exclosure,4,10,7
B6_Exclosure,4,30,7
B6_Exclosure,4,50,3
B6_Exclosure,4,70,1
B6_Exclosure,4,90,0
B6_Exclosure,4,110,0
B6_Exclosure,4,130,0
B6_Exclosure,4,150,0
B6_Exclosure,4,170,0
B6_Exclosure,4,190,0
B6_Exclosure,4,210,0
B6_Exclosure,4,230,0
B6_Exclosure,4,250,0
B6_Exclosure,4,270,0
B6_Exclosure,4,290,0
B6_Exclosure,4,310,0
B6_Exclosure,5,10,8
B6_Exclosure,5,30,7
B6_Exclosure,5,50,0
B6_Exclosure,5,70,0
B6_Exclosure,5,90,0
B6_Exclosure,5,110,0
B6_Exclosure,5,130,0
B6_Exclosure,5,150,0
B6_Exclosure,5,170,0
B6_Exclosure,5,190,0
B6_Exclosure,5,210,0
B6_Exclosure,5,230,0
B6_Exclosure,5,250,0
B6_Exclosure,5,270,0
B6_Exclosure,5,290,0
B6_Exclosure,5,310,0
B6_Control,1,10,8
B6_Control,1,30,0
B6_Control,1,50,0
B6_Control,1,70,0
B6_Control,1,90,0
B6_Control,1,110,0
B6_Control,1,130,0
B6_Control,1,150,0
B6_Control,1,170,0
B6_Control,1,190,0
B6_Control,1,210,0
B6_Control,1,230,0
B6_Control,1,250,0
B6_Control,1,270,0
B6_Control,1,290,0
B6_Control,1,310,0
B6_Control,2,10,10
B6_Control,2,30,3
B6_Control,2,50,0
B6_Control,2,70,0
B6_Control,2,90,0
B6_Control,2,110,0
B6_Control,2,130,0
B6_Control,2,150,0
B6_Control,2,170,0
B6_Control,2,190,0
B6_Control,2,210,0
B6_Control,2,230,0
B6_Control,2,250,0
B6_Control,2,270,0
B6_Control,2,290,0
B6_Control,2,310,0
B6_Control,3,10,11
B6_Control,3,30,3
B6_Control,3,50,1
B6_Control,3,70,0
B6_Control,3,90,0
B6_Control,3,110,0
B6_Control,3,130,0
B6_Control,3,150,0
B6_Control,3,170,0
B6_Control,3,190,0
B6_Control,3,210,0
B6_Control,3,230,0
B6_Control,3,250,0
B6_Control,3,270,0
B6_Control,3,290,0
B6_Control,3,310,0
B6_Control,4,10,10
B6_Control,4,30,1
B6_Control,4,50,2
B6_Control,4,70,0
B6_Control,4,90,0
B6_Control,4,110,0
B6_Control,4,130,0
B6_Control,4,150,0
B6_Control,4,170,0
B6_Control,4,190,0
B6_Control,4,210,0
B6_Control,4,230,0
B6_Control,4,250,0
B6_Control,4,270,0
B6_Control,4,290,0
B6_Control,4,310,0
B6_Control,5,10,10
B6_Control,5,30,1
B6_Control,5,50,0
B6_Control,5,70,0
B6_Control,5,90,0
B6_Control,5,110,0
B6_Control,5,130,0
B6_Control,5,150,0
B6_Control,5,170,0
B6_Control,5,190,0
B6_Control,5,210,0
B6_Control,5,230,0
B6_Control,5,250,0
B6_Control,5,270,0
B6_Control,5,290,0
B6_Control,5,310,0
Newfarm_Exclosure,1,10,6
Newfarm_Exclosure,1,30,2
Newfarm_Exclosure,1,50,0
Newfarm_Exclosure,1,70,0
Newfarm_Exclosure,1,90,0
Newfarm_Exclosure,1,110,1
Newfarm_Exclosure,1,130,0
Newfarm_Exclosure,1,150,6
Newfarm_Exclosure,1,170,0
Newfarm_Exclosure,1,190,0
Newfarm_Exclosure,1,210,2
Newfarm_Exclosure,1,230,3
Newfarm_Exclosure,1,250,1
Newfarm_Exclosure,1,270,1
Newfarm_Exclosure,1,290,2
Newfarm_Exclosure,1,310,1
Newfarm_Exclosure,2,10,4
Newfarm_Exclosure,2,30,1
Newfarm_Exclosure,2,50,1
Newfarm_Exclosure,2,70,0
Newfarm_Exclosure,2,90,1
Newfarm_Exclosure,2,110,0
Newfarm_Exclosure,2,130,0
Newfarm_Exclosure,2,150,0
Newfarm_Exclosure,2,170,0
Newfarm_Exclosure,2,190,0
Newfarm_Exclosure,2,210,0
Newfarm_Exclosure,2,230,0
Newfarm_Exclosure,2,250,0
Newfarm_Exclosure,2,270,5
Newfarm_Exclosure,2,290,2
Newfarm_Exclosure,2,310,1
Newfarm_Exclosure,3,10,6
Newfarm_Exclosure,3,30,4
Newfarm_Exclosure,3,50,2
Newfarm_Exclosure,3,70,4
Newfarm_Exclosure,3,90,2
Newfarm_Exclosure,3,110,2
Newfarm_Exclosure,3,130,3
Newfarm_Exclosure,3,150,3
Newfarm_Exclosure,3,170,4
Newfarm_Exclosure,3,190,1
Newfarm_Exclosure,3,210,1
Newfarm_Exclosure,3,230,0
Newfarm_Exclosure,3,250,0
Newfarm_Exclosure,3,270,0
Newfarm_Exclosure,3,290,0
Newfarm_Exclosure,3,310,0
Newfarm_Exclosure,4,10,7
Newfarm_Exclosure,4,30,2
Newfarm_Exclosure,4,50,8
Newfarm_Exclosure,4,70,10
Newfarm_Exclosure,4,90,2
Newfarm_Exclosure,4,110,1
Newfarm_Exclosure,4,130,0
Newfarm_Exclosure,4,150,1
Newfarm_Exclosure,4,170,0
Newfarm_Exclosure,4,190,0
Newfarm_Exclosure,4,210,0
Newfarm_Exclosure,4,230,0
Newfarm_Exclosure,4,250,0
Newfarm_Exclosure,4,270,0
Newfarm_Exclosure,4,290,0
Newfarm_Exclosure,4,310,0
Newfarm_Exclosure,5,10,5
Newfarm_Exclosure,5,30,6
Newfarm_Exclosure,5,50,7
Newfarm_Exclosure,5,70,4
Newfarm_Exclosure,5,90,8
Newfarm_Exclosure,5,110,5
Newfarm_Exclosure,5,130,5
Newfarm_Exclosure,5,150,7
Newfarm_Exclosure,5,170,4
Newfarm_Exclosure,5,190,4
Newfarm_Exclosure,5,210,0
Newfarm_Exclosure,5,230,0
Newfarm_Exclosure,5,250,0
Newfarm_Exclosure,5,270,0
Newfarm_Exclosure,5,290,0
Newfarm_Exclosure,5,310,0
Newfarm_Control,1,10,8
Newfarm_Control,1,30,8
Newfarm_Control,1,50,2
Newfarm_Control,1,70,1
Newfarm_Control,1,90,0
Newfarm_Control,1,110,0
Newfarm_Control,1,130,0
Newfarm_Control,1,150,0
Newfarm_Control,1,170,0
Newfarm_Control,1,190,0
Newfarm_Control,1,210,0
Newfarm_Control,1,230,0
Newfarm_Control,1,250,0
Newfarm_Control,1,270,0
Newfarm_Control,1,290,0
Newfarm_Control,1,310,0
Newfarm_Control,2,10,12
Newfarm_Control,2,30,4
Newfarm_Control,2,50,5
Newfarm_Control,2,70,2
Newfarm_Control,2,90,1
Newfarm_Control,2,110,0
Newfarm_Control,2,130,0
Newfarm_Control,2,150,0
Newfarm_Control,2,170,0
Newfarm_Control,2,190,0
Newfarm_Control,2,210,0
Newfarm_Control,2,230,0
Newfarm_Control,2,250,0
Newfarm_Control,2,270,0
Newfarm_Control,2,290,0
Newfarm_Control,2,310,0
Newfarm_Control,3,10,9
Newfarm_Control,3,30,11
Newfarm_Control,3,50,2
Newfarm_Control,3,70,0
Newfarm_Control,3,90,0
Newfarm_Control,3,110,0
Newfarm_Control,3,130,0
Newfarm_Control,3,150,0
Newfarm_Control,3,170,0
Newfarm_Control,3,190,0
Newfarm_Control,3,210,0
Newfarm_Control,3,230,0
Newfarm_Control,3,250,0
Newfarm_Control,3,270,0
Newfarm_Control,3,290,0
Newfarm_Control,3,310,0
Newfarm_Control,4,10,5
Newfarm_Control,4,30,1
Newfarm_Control,4,50,1
Newfarm_Control,4,70,0
Newfarm_Control,4,90,0
Newfarm_Control,4,110,0
Newfarm_Control,4,130,0
Newfarm_Control,4,150,0
Newfarm_Control,4,170,0
Newfarm_Control,4,190,0
Newfarm_Control,4,210,0
Newfarm_Control,4,230,0
Newfarm_Control,4,250,0
Newfarm_Control,4,270,0
Newfarm_Control,4,290,0
Newfarm_Control,4,310,0
Newfarm_Control,5,10,6
Newfarm_Control,5,30,5
Newfarm_Control,5,50,4
Newfarm_Control,5,70,4
Newfarm_Control,5,90,1
Newfarm_Control,5,110,0
Newfarm_Control,5,130,0
Newfarm_Control,5,150,0
Newfarm_Control,5,170,0
Newfarm_Control,5,190,0
Newfarm_Control,5,210,0
Newfarm_Control,5,230,0
Newfarm_Control,5,250,0
Newfarm_Control,5,270,0
Newfarm_Control,5,290,0
Newfarm_Control,5,310,0
WWW_Exclosure,1,10,5
WWW_Exclosure,1,30,3
WWW_Exclosure,1,50,0
WWW_Exclosure,1,70,0
WWW_Exclosure,1,90,0
WWW_Exclosure,1,110,3
WWW_Exclosure,1,130,0
WWW_Exclosure,1,150,0
WWW_Exclosure,1,170,0
WWW_Exclosure,1,190,0
WWW_Exclosure,1,210,1
WWW_Exclosure,1,230,0
WWW_Exclosure,1,250,2
WWW_Exclosure,1,270,2
WWW_Exclosure,1,290,0
WWW_Exclosure,1,310,0
WWW_Exclosure,2,10,2
WWW_Exclosure,2,30,0
WWW_Exclosure,2,50,0
WWW_Exclosure,2,70,0
WWW_Exclosure,2,90,0
WWW_Exclosure,2,110,1
WWW_Exclosure,2,130,2
WWW_Exclosure,2,150,0
WWW_Exclosure,2,170,2
WWW_Exclosure,2,190,0
WWW_Exclosure,2,210,2
WWW_Exclosure,2,230,2
WWW_Exclosure,2,250,0
WWW_Exclosure,2,270,2
WWW_Exclosure,2,290,0
WWW_Exclosure,2,310,0
WWW_Exclosure,3,10,4
WWW_Exclosure,3,30,1
WWW_Exclosure,3,50,5
WWW_Exclosure,3,70,0
WWW_Exclosure,3,90,0
WWW_Exclosure,3,110,0
WWW_Exclosure,3,130,0
WWW_Exclosure,3,150,0
WWW_Exclosure,3,170,0
WWW_Exclosure,3,190,2
WWW_Exclosure,3,210,2
WWW_Exclosure,3,230,0
WWW_Exclosure,3,250,1
WWW_Exclosure,3,270,0
WWW_Exclosure,3,290,1
WWW_Exclosure,3,310,0
WWW_Exclosure,4,10,5
WWW_Exclosure,4,30,5
WWW_Exclosure,4,50,2
WWW_Exclosure,4,70,1
WWW_Exclosure,4,90,1
WWW_Exclosure,4,110,4
WWW_Exclosure,4,130,3
WWW_Exclosure,4,150,3
WWW_Exclosure,4,170,1
WWW_Exclosure,4,190,0
WWW_Exclosure,4,210,1
WWW_Exclosure,4,230,6
WWW_Exclosure,4,250,0
WWW_Exclosure,4,270,5
WWW_Exclosure,4,290,1
WWW_Exclosure,4,310,1
WWW_Exclosure,5,10,10
WWW_Exclosure,5,30,4
WWW_Exclosure,5,50,1
WWW_Exclosure,5,70,3
WWW_Exclosure,5,90,0
WWW_Exclosure,5,110,3
WWW_Exclosure,5,130,0
WWW_Exclosure,5,150,0
WWW_Exclosure,5,170,0
WWW_Exclosure,5,190,0
WWW_Exclosure,5,210,0
WWW_Exclosure,5,230,0
WWW_Exclosure,5,250,0
WWW_Exclosure,5,270,0
WWW_Exclosure,5,290,0
WWW_Exclosure,5,310,0
WWW_Control,1,10,5
WWW_Control,1,30,1
WWW_Control,1,50,1
WWW_Control,1,70,0
WWW_Control,1,90,0
WWW_Control,1,110,0
WWW_Control,1,130,0
WWW_Control,1,150,0
WWW_Control,1,170,0
WWW_Control,1,190,0
WWW_Control,1,210,0
WWW_Control,1,230,0
WWW_Control,1,250,0
WWW_Control,1,270,0
WWW_Control,1,290,0
WWW_Control,1,310,0
WWW_Control,2,10,4
WWW_Control,2,30,2
WWW_Control,2,50,2
WWW_Control,2,70,0
WWW_Control,2,90,1
WWW_Control,2,110,3
WWW_Control,2,130,2
WWW_Control,2,150,0
WWW_Control,2,170,0
WWW_Control,2,190,0
WWW_Control,2,210,0
WWW_Control,2,230,0
WWW_Control,2,250,0
WWW_Control,2,270,0
WWW_Control,2,290,0
WWW_Control,2,310,0
WWW_Control,3,10,5
WWW_Control,3,30,5
WWW_Control,3,50,1
WWW_Control,3,70,0
WWW_Control,3,90,0
WWW_Control,3,110,0
WWW_Control,3,130,0
WWW_Control,3,150,0
WWW_Control,3,170,0
WWW_Control,3,190,0
WWW_Control,3,210,0
WWW_Control,3,230,0
WWW_Control,3,250,0
WWW_Control,3,270,0
WWW_Control,3,290,0
WWW_Control,3,310,0
WWW_Control,4,10,9
WWW_Control,4,30,1
WWW_Control,4,50,0
WWW_Control,4,70,0
WWW_Control,4,90,0
WWW_Control,4,110,0
WWW_Control,4,130,0
WWW_Control,4,150,0
WWW_Control,4,170,0
WWW_Control,4,190,0
WWW_Control,4,210,0
WWW_Control,4,230,0
WWW_Control,4,250,0
WWW_Control,4,270,0
WWW_Control,4,290,0
WWW_Control,4,310,0
WWW_Control,5,10,8
WWW_Control,5,30,6
WWW_Control,5,50,4
WWW_Control,5,70,4
WWW_Control,5,90,0
WWW_Control,5,110,0
WWW_Control,5,130,0
WWW_Control,5,150,0
WWW_Control,5,170,0
WWW_Control,5,190,0
WWW_Control,5,210,0
WWW_Control,5,230,0
WWW_Control,5,250,0
WWW_Control,5,270,0
WWW_Control,5,290,0
WWW_Control,5,310,0
